#Puck,v_x (m/s), v_y (m/s)
19,0.161327,0.0477633
20,0.131194,-0.243581
0,0.148634,-0.0695441
1,0.29872,0.158792
2,-0.274572,-0.567276
3,0.433009,-0.0151565
4,-0.705577,0.193389
5,-0.344002,-0.166912
6,0.306326,-0.160395
7,0.361844,-0.0334321
8,0.357243,-0.149365
9,-0.100307,-0.0554573
10,-0.00745738,0.0211834
11,-0.125011,0.0857684
12,-0.067388,-0.229481
13,-0.0551283,0.149232
14,0.0271938,-0.667403
15,0.519908,-0.118796
16,0.257409,0.328798
17,0.172875,0.241722
18,-0.115124,0.981305
19,0.149851,0.0553268
20,0.131624,-0.25659
0,0.146411,-0.0697012
1,0.295027,0.154974
2,-0.274742,-0.568467
3,0.4337,-0.0161895
4,-0.668452,0.151649
5,-0.343888,-0.169537
6,0.307669,-0.153276
7,0.362608,-0.0350477
8,0.399781,-0.239996
9,-0.0419422,0.0230141
10,0.123544,-0.0270688
11,-0.133421,0.0961313
12,-0.190568,-0.261378
13,-0.115697,0.075435
14,0.0707075,-0.67847
15,0.475541,-0.0484957
16,0.251254,0.323263
17,0.174419,0.251771
18,0.542839,0.292144
19,0.149411,0.0486658
20,0.132771,-0.246645
0,0.15321,-0.0663422
1,0.299411,0.129782
2,-0.275032,-0.566899
3,0.428673,-0.0169486
4,-0.671443,0.173595
5,-0.347152,-0.198688
6,0.383208,0.19997
7,0.359655,-0.0362737
8,0.386672,-0.228072
9,0.00514651,0.0805796
10,0.219058,-0.0238467
11,-0.0766334,0.0639086
12,-0.167888,-0.274087
13,-0.168857,0.0111146
14,0.0426149,-0.642279
15,0.476888,-0.0445228
16,0.237126,0.329943
17,0.16989,0.251901
18,0.555231,0.468759
19,0.160076,0.0451661
20,0.129667,-0.267001
0,0.154649,-0.059195
1,0.302473,0.152076
2,-0.27868,-0.56501
3,0.428656,-0.0189649
4,-0.706482,0.166166
5,-0.347891,-0.176693
6,0.293637,0.0720171
7,0.360789,-0.0321234
8,0.384556,-0.219372
9,0.00335442,0.0824379
10,0.15726,-0.0409
11,-0.118395,0.0771885
12,-0.133756,-0.292745
13,-0.169214,0.011394
14,0.0642119,-0.703918
15,0.47603,-0.0461504
16,0.236434,0.321945
17,0.175093,0.246356
18,0.560427,0.418952
19,0.153877,0.049344
20,0.132087,-0.254914
0,0.166854,-0.0624557
1,0.310884,0.155403
2,-0.275876,-0.566973
3,0.429563,-0.0194318
4,-0.750875,0.128604
5,-0.341869,-0.179036
6,-0.0665765,0.425209
7,0.362788,-0.0271975
8,0.381151,-0.225435
9,0.00190972,0.0809748
10,0.146197,-0.00135831
11,-0.169236,0.0897478
12,-0.0668091,-0.243998
13,-0.168059,0.00858364
14,0.0991494,-0.726454
15,0.477466,-0.0433557
16,0.24086,0.314332
17,0.165523,0.246606
18,0.574222,0.379021
19,0.156374,0.0521783
20,0.134986,-0.247176
0,0.158698,-0.0682767
1,0.280924,0.136963
2,-0.277286,-0.567177
3,0.427817,-0.018294
4,-0.729618,0.104507
5,-0.337172,-0.181418
6,0.253675,-0.16375
7,0.357929,-0.0323734
8,0.372374,-0.234772
9,0.00414845,0.0821089
10,0.111909,-0.0201725
11,-0.144499,0.0931077
12,-0.0855129,-0.245303
13,-0.166846,0.0138184
14,0.155074,-0.711851
15,0.474335,-0.0468461
16,0.24502,0.301086
17,0.162133,0.24522
18,0.645472,0.403213
19,0.16026,0.0454106
20,0.141234,-0.264751
0,0.165571,-0.0571364
1,0.262239,0.116907
2,0.0116954,0.00431204
3,0.424554,-0.0208213
4,-0.722153,0.120483
5,-0.337899,-0.197968
6,-0.352485,0.174776
7,0.352212,-0.0344504
8,0.367687,-0.228422
9,0.000604715,0.0797654
10,0.0880212,-0.0221668
11,-0.160987,0.0763393
12,-0.0736171,-0.277377
13,-0.170096,0.0103518
14,0.116063,-0.686258
15,0.474571,-0.0444181
16,0.216336,0.2908
17,0.14411,0.24881
18,0.572364,0.384546
19,0.158914,0.0491749
20,0.13295,-0.264584
0,0.166278,-0.049685
1,0.274366,0.139809
2,0.277112,0.05495
3,0.428015,-0.0195126
4,0.36158,0.116153
5,-0.337912,-0.18728
6,-0.414981,0.418218
7,0.358703,-0.0332299
8,0.369959,-0.250105
9,0.00154763,0.0802396
10,0.0717812,-0.0138386
11,-0.140182,0.0720548
12,-0.061306,-0.291333
13,-0.16792,0.00520717
14,0.113179,-0.674266
15,0.476528,-0.045304
16,0.241082,0.284993
17,0.145615,0.242208
18,0.566252,0.380371
19,0.157258,0.053645
20,0.133639,-0.254166
0,0.162961,-0.0495352
1,0.240156,0.140998
2,0.259509,0.0732808
3,0.422637,-0.0208654
4,0.16667,0.107053
5,-0.333267,-0.173255
6,-0.34012,0.376028
7,0.355355,-0.0342831
8,0.368247,-0.233687
9,0.00178474,0.0800613
10,0.0531317,-0.0107011
11,-0.156116,0.05411
12,-0.0216852,-0.357032
13,-0.170083,0.00182885
14,0.151344,-0.664644
15,0.473687,-0.0430552
16,0.217664,0.294954
17,0.142738,0.244849
18,0.550851,0.373946
19,0.159073,0.0419073
20,0.133011,-0.25752
0,0.157895,-0.0485481
1,0.254177,0.157647
2,-0.0782481,0.0244882
3,0.426186,-0.0165736
4,0.0808912,-0.000101092
